date,open,high,low,close,volume,amount,code,name,industry,daily_return,is_extreme,hs300_close,cpi_yoy,m2_yoy
2020-01-02,27.0,27.47,26.69,27.35,19174487.0,219891936.0,603118,共进股份,通讯,,False,4172.656,4.5,
2020-01-02,27.0,27.47,26.69,27.35,19174487.0,219891936.0,603118,共进股份,通讯,,False,4172.656,4.5,
2020-01-02,27.0,27.47,26.69,27.35,19174487.0,219891936.0,603118,共进股份,通讯,,False,4172.656,4.5,8.7
2020-01-03,27.42,28.01,27.28,27.49,17145400.0,199663560.0,603118,共进股份,通讯,0.00511882998171842,False,4164.299,4.5,8.7
2020-01-03,27.42,28.01,27.28,27.49,17145400.0,199663560.0,603118,共进股份,通讯,0.00511882998171842,False,4164.299,4.5,8.7
2020-01-03,27.42,28.01,27.28,27.49,17145400.0,199663560.0,603118,共进股份,通讯,0.00511882998171842,False,4164.299,4.5,8.7
2020-01-06,27.47,29.06,27.23,28.61,36110078.0,432063091.0,603118,共进股份,通讯,0.040742088032011736,False,4170.638,4.5,8.7
2020-01-06,27.47,29.06,27.23,28.61,36110078.0,432063091.0,603118,共进股份,通讯,0.040742088032011736,False,4170.638,4.5,8.7
2020-01-06,27.47,29.06,27.23,28.61,36110078.0,432063091.0,603118,共进股份,通讯,0.040742088032011736,False,4170.638,4.5,8.7
2020-01-07,28.51,30.15,28.46,29.96,39368752.0,490439151.0,603118,共进股份,通讯,0.047186298497029044,False,4161.25,4.5,8.7
2020-01-07,28.51,30.15,28.46,29.96,39368752.0,490439151.0,603118,共进股份,通讯,0.047186298497029044,False,4161.25,4.5,8.7
2020-01-07,28.51,30.15,28.46,29.96,39368752.0,490439151.0,603118,共进股份,通讯,0.047186298497029044,False,4161.25,4.5,8.7
2020-01-08,29.36,29.79,28.8,28.82,32406786.0,400350153.0,603118,共进股份,通讯,-0.03805073431241657,False,4149.813,4.5,8.7
2020-01-08,29.36,29.79,28.8,28.82,32406786.0,400350153.0,603118,共进股份,通讯,-0.03805073431241657,False,4149.813,4.5,8.7
2020-01-08,29.36,29.79,28.8,28.82,32406786.0,400350153.0,603118,共进股份,通讯,-0.03805073431241657,False,4149.813,4.5,8.7
2020-01-09,29.13,29.53,28.87,29.25,23807750.0,293238810.0,603118,共进股份,通讯,0.014920194309507195,False,4165.657,4.5,8.7
2020-01-09,29.13,29.53,28.87,29.25,23807750.0,293238810.0,603118,共进股份,通讯,0.014920194309507195,False,4165.657,4.5,8.7
2020-01-09,29.13,29.53,28.87,29.25,23807750.0,293238810.0,603118,共进股份,通讯,0.014920194309507195,False,4165.657,4.5,8.7
2020-01-10,29.32,29.44,28.58,28.77,18563727.0,226246256.0,603118,共进股份,通讯,-0.016410256410256396,False,4180.977,4.5,8.7
2020-01-10,29.32,29.44,28.58,28.77,18563727.0,226246256.0,603118,共进股份,通讯,-0.016410256410256396,False,4180.977,4.5,8.7
2020-01-10,29.32,29.44,28.58,28.77,18563727.0,226246256.0,603118,共进股份,通讯,-0.016410256410256396,False,4180.977,4.5,8.7
2020-01-13,28.75,29.96,28.35,29.86,27755649.0,343681217.0,603118,共进股份,通讯,0.03788668752172408,False,4203.988,4.5,8.7
2020-01-13,28.75,29.96,28.35,29.86,27755649.0,343681217.0,603118,共进股份,通讯,0.03788668752172408,False,4203.988,4.5,8.7
2020-01-13,28.75,29.96,28.35,29.86,27755649.0,343681217.0,603118,共进股份,通讯,0.03788668752172408,False,4203.988,4.5,8.7
2020-01-14,29.96,30.19,29.34,29.48,20656266.0,258648693.0,603118,共进股份,通讯,-0.01272605492297385,False,4223.508,4.5,8.7
2020-01-14,29.96,30.19,29.34,29.48,20656266.0,258648693.0,603118,共进股份,通讯,-0.01272605492297385,False,4223.508,4.5,8.7
2020-01-14,29.96,30.19,29.34,29.48,20656266.0,258648693.0,603118,共进股份,通讯,-0.01272605492297385,False,4223.508,4.5,8.7
2020-01-15,29.34,30.48,29.2,30.34,29833229.0,378148625.0,603118,共进股份,通讯,0.02917232021709637,False,4193.869000000001,4.5,8.7
2020-01-15,29.34,30.48,29.2,30.34,29833229.0,378148625.0,603118,共进股份,通讯,0.02917232021709637,False,4193.869000000001,4.5,8.7
2020-01-15,29.34,30.48,29.2,30.34,29833229.0,378148625.0,603118,共进股份,通讯,0.02917232021709637,False,4193.869000000001,4.5,8.7
2020-01-16,30.45,30.93,29.91,30.36,25933679.0,331630984.0,603118,共进股份,通讯,0.0006591957811470373,False,4175.294,4.5,8.7
2020-01-16,30.45,30.93,29.91,30.36,25933679.0,331630984.0,603118,共进股份,通讯,0.0006591957811470373,False,4175.294,4.5,8.7
2020-01-16,30.45,30.93,29.91,30.36,25933679.0,331630984.0,603118,共进股份,通讯,0.0006591957811470373,False,4175.294,4.5,8.7
2020-01-17,30.5,30.64,29.58,29.79,21151222.0,267511804.0,603118,共进股份,通讯,-0.018774703557312256,False,4177.028,4.5,8.7
2020-01-17,30.5,30.64,29.58,29.79,21151222.0,267511804.0,603118,共进股份,通讯,-0.018774703557312256,False,4177.028,4.5,8.7
2020-01-17,30.5,30.64,29.58,29.79,21151222.0,267511804.0,603118,共进股份,通讯,-0.018774703557312256,False,4177.028,4.5,8.7
2020-01-20,29.6,29.74,28.89,29.72,20061172.0,248410955.0,603118,共进股份,通讯,-0.002349781805975115,False,4185.963,4.5,8.7
2020-01-20,29.6,29.74,28.89,29.72,20061172.0,248410955.0,603118,共进股份,通讯,-0.002349781805975115,False,4185.963,4.5,8.7
2020-01-20,29.6,29.74,28.89,29.72,20061172.0,248410955.0,603118,共进股份,通讯,-0.002349781805975115,False,4185.963,4.5,8.7
2020-01-21,29.91,30.78,29.77,30.22,29338555.0,375194112.0,603118,共进股份,通讯,0.01682368775235532,False,4165.02,4.5,8.7
2020-01-21,29.91,30.78,29.77,30.22,29338555.0,375194112.0,603118,共进股份,通讯,0.01682368775235532,False,4165.02,4.5,8.7
2020-01-21,29.91,30.78,29.77,30.22,29338555.0,375194112.0,603118,共进股份,通讯,0.01682368775235532,False,4165.02,4.5,8.7
2020-01-22,29.62,31.87,29.27,31.73,34668494.0,452402190.0,603118,共进股份,通讯,0.04996690933156844,False,4141.177,4.5,8.7
2020-01-22,29.62,31.87,29.27,31.73,34668494.0,452402190.0,603118,共进股份,通讯,0.04996690933156844,False,4141.177,4.5,8.7
2020-01-22,29.62,31.87,29.27,31.73,34668494.0,452402190.0,603118,共进股份,通讯,0.04996690933156844,False,4141.177,4.5,8.7
2020-01-23,31.28,32.04,30.1,30.74,35666702.0,468950787.0,603118,共进股份,通讯,-0.03120075638197295,False,4103.524,4.5,8.7
2020-01-23,31.28,32.04,30.1,30.74,35666702.0,468950787.0,603118,共进股份,通讯,-0.03120075638197295,False,4103.524,4.5,8.7
2020-01-23,31.28,32.04,30.1,30.74,35666702.0,468950787.0,603118,共进股份,通讯,-0.03120075638197295,False,4103.524,4.5,8.7
2020-02-03,27.66,27.66,27.66,27.66,3117300.0,36410064.0,603118,共进股份,通讯,-0.1001951854261548,False,3732.157,5.4,8.7
2020-02-03,27.66,27.66,27.66,27.66,3117300.0,36410064.0,603118,共进股份,通讯,-0.1001951854261548,False,3732.157,5.4,0.0
2020-02-03,27.66,27.66,27.66,27.66,3117300.0,36410064.0,603118,共进股份,通讯,-0.1001951854261548,False,3732.157,5.4,0.0
2020-02-03,27.66,27.66,27.66,27.66,3117300.0,36410064.0,603118,共进股份,通讯,-0.1001951854261548,False,3732.157,5.4,0.0
2020-02-03,27.66,27.66,27.66,27.66,3117300.0,36410064.0,603118,共进股份,通讯,-0.1001951854261548,False,3732.157,5.4,8.4
2020-02-04,24.89,26.95,24.89,26.52,36001573.0,398552087.0,603118,共进股份,通讯,-0.041214750542299394,False,3786.863,5.4,8.4
2020-02-04,24.89,26.95,24.89,26.52,36001573.0,398552087.0,603118,共进股份,通讯,-0.041214750542299394,False,3786.863,5.4,0.0
2020-02-04,24.89,26.95,24.89,26.52,36001573.0,398552087.0,603118,共进股份,通讯,-0.041214750542299394,False,3786.863,5.4,0.0
2020-02-04,24.89,26.95,24.89,26.52,36001573.0,398552087.0,603118,共进股份,通讯,-0.041214750542299394,False,3786.863,5.4,0.0
2020-02-04,24.89,26.95,24.89,26.52,36001573.0,398552087.0,603118,共进股份,通讯,-0.041214750542299394,False,3786.863,5.4,8.4
