date,open,high,low,close,volume,amount,code,name,industry,daily_return,is_extreme,hs300_close,cpi_yoy,m2_yoy
2020-01-02,188.89,194.3,188.84,193.11,82624452.0,3191180650.0,600036,招商银行,银行,,False,4172.656,4.5,
2020-01-02,188.89,194.3,188.84,193.11,82624452.0,3191180650.0,600036,招商银行,银行,,False,4172.656,4.5,
2020-01-02,188.89,194.3,188.84,193.11,82624452.0,3191180650.0,600036,招商银行,银行,,False,4172.656,4.5,8.7
2020-01-03,193.46,196.78,193.31,195.69,52010611.0,2045230273.0,600036,招商银行,银行,0.013360260991144957,False,4164.299,4.5,8.7
2020-01-03,193.46,196.78,193.31,195.69,52010611.0,2045230273.0,600036,招商银行,银行,0.013360260991144957,False,4164.299,4.5,8.7
2020-01-03,193.46,196.78,193.31,195.69,52010611.0,2045230273.0,600036,招商银行,银行,0.013360260991144957,False,4164.299,4.5,8.7
2020-01-06,194.65,199.47,193.21,194.9,54887720.0,2171575505.0,600036,招商银行,银行,-0.0040369972916346475,False,4170.638,4.5,8.7
2020-01-06,194.65,199.47,193.21,194.9,54887720.0,2171575505.0,600036,招商银行,银行,-0.0040369972916346475,False,4170.638,4.5,8.7
2020-01-06,194.65,199.47,193.21,194.9,54887720.0,2171575505.0,600036,招商银行,银行,-0.0040369972916346475,False,4170.638,4.5,8.7
2020-01-07,196.44,198.37,194.2,194.45,34767128.0,1369304771.0,600036,招商银行,银行,-0.002308876346844624,False,4161.25,4.5,8.7
2020-01-07,196.44,198.37,194.2,194.45,34767128.0,1369304771.0,600036,招商银行,银行,-0.002308876346844624,False,4161.25,4.5,8.7
2020-01-07,196.44,198.37,194.2,194.45,34767128.0,1369304771.0,600036,招商银行,银行,-0.002308876346844624,False,4161.25,4.5,8.7
2020-01-08,193.46,193.46,190.77,190.77,36323418.0,1403861101.0,600036,招商银行,银行,-0.01892517356646939,False,4149.813,4.5,8.7
2020-01-08,193.46,193.46,190.77,190.77,36323418.0,1403861101.0,600036,招商银行,银行,-0.01892517356646939,False,4149.813,4.5,8.7
2020-01-08,193.46,193.46,190.77,190.77,36323418.0,1403861101.0,600036,招商银行,银行,-0.01892517356646939,False,4149.813,4.5,8.7
2020-01-09,192.91,193.7,191.62,193.21,30335989.0,1177003661.0,600036,招商银行,银行,0.012790271006971832,False,4165.657,4.5,8.7
2020-01-09,192.91,193.7,191.62,193.21,30335989.0,1177003661.0,600036,招商银行,银行,0.012790271006971832,False,4165.657,4.5,8.7
2020-01-09,192.91,193.7,191.62,193.21,30335989.0,1177003661.0,600036,招商银行,银行,0.012790271006971832,False,4165.657,4.5,8.7
2020-01-10,193.21,195.09,192.46,193.9,28593121.0,1116903172.0,600036,招商银行,银行,0.003571243724444839,False,4180.977,4.5,8.7
2020-01-10,193.21,195.09,192.46,193.9,28593121.0,1116903172.0,600036,招商银行,银行,0.003571243724444839,False,4180.977,4.5,8.7
2020-01-10,193.21,195.09,192.46,193.9,28593121.0,1116903172.0,600036,招商银行,银行,0.003571243724444839,False,4180.977,4.5,8.7
2020-01-13,195.09,195.09,192.46,194.2,32780852.0,1279073028.0,600036,招商银行,银行,0.0015471892728209369,False,4203.988,4.5,8.7
2020-01-13,195.09,195.09,192.46,194.2,32780852.0,1279073028.0,600036,招商银行,银行,0.0015471892728209369,False,4203.988,4.5,8.7
2020-01-13,195.09,195.09,192.46,194.2,32780852.0,1279073028.0,600036,招商银行,银行,0.0015471892728209369,False,4203.988,4.5,8.7
2020-01-14,194.4,196.83,192.21,192.76,33564638.0,1314430602.0,600036,招商银行,银行,-0.007415036045314127,False,4223.508,4.5,8.7
2020-01-14,194.4,196.83,192.21,192.76,33564638.0,1314430602.0,600036,招商银行,银行,-0.007415036045314127,False,4223.508,4.5,8.7
2020-01-14,194.4,196.83,192.21,192.76,33564638.0,1314430602.0,600036,招商银行,银行,-0.007415036045314127,False,4223.508,4.5,8.7
2020-01-15,192.91,193.16,188.84,189.33,48859891.0,1870048774.0,600036,招商银行,银行,-0.01779414816351932,False,4193.869000000001,4.5,8.7
